Station,Entry_Exit,Trip,Month,Year
North Sydney Station,Entry,264223,11,2024
North Sydney Station,Exit,278732,11,2024
Oatley Station,Entry,44161,11,2024
Oatley Station,Exit,41041,11,2024
Olympic Park Station,Entry,89403,11,2024
Olympic Park Station,Exit,144247,11,2024
Padstow Station,Entry,60101,11,2024
Padstow Station,Exit,54635,11,2024
Panania Station,Entry,37116,11,2024
Panania Station,Exit,33612,11,2024
Parramatta Station,Entry,966060,11,2024
Parramatta Station,Exit,986471,11,2024
Pendle Hill Station,Entry,72201,11,2024
Pendle Hill Station,Exit,67555,11,2024
Pennant Hills Station,Entry,38202,11,2024
Pennant Hills Station,Exit,36287,11,2024
Penrith Station,Entry,171877,11,2024
Penrith Station,Exit,174896,11,2024
Penshurst Station,Entry,69610,11,2024
Penshurst Station,Exit,59799,11,2024
Petersham Station,Entry,82762,11,2024
Petersham Station,Exit,79810,11,2024
Pymble Station,Entry,51184,11,2024
Pymble Station,Exit,46710,11,2024
Quakers Hill Station,Entry,57558,11,2024
Quakers Hill Station,Exit,51909,11,2024
Redfern Station,Entry,571576,11,2024
Redfern Station,Exit,608866,11,2024
Regents Park Station,Entry,34073,11,2024
Regents Park Station,Exit,31793,11,2024
Revesby Station,Entry,121443,11,2024
Revesby Station,Exit,119391,11,2024
Rhodes Station,Entry,221227,11,2024
Rhodes Station,Exit,217800,11,2024
Richmond Station,Entry,16167,11,2024
Richmond Station,Exit,14621,11,2024
Riverstone Station,Entry,28086,11,2024
Riverstone Station,Exit,25388,11,2024
Riverwood Station,Entry,77805,11,2024
Riverwood Station,Exit,72834,11,2024
Rockdale Station,Entry,242250,11,2024
Rockdale Station,Exit,232958,11,2024
Rooty Hill Station,Entry,84489,11,2024
Rooty Hill Station,Exit,79577,11,2024
Roseville Station,Entry,65221,11,2024
Roseville Station,Exit,61181,11,2024
Schofields Station,Entry,96637,11,2024
Schofields Station,Exit,90971,11,2024
Sefton Station,Entry,18822,11,2024
Sefton Station,Exit,16949,11,2024
Seven Hills Station,Entry,135265,11,2024
Seven Hills Station,Exit,128162,11,2024
St James Station,Entry,183179,11,2024
St James Station,Exit,204664,11,2024
St Leonards Station,Entry,251825,11,2024
St Leonards Station,Exit,251292,11,2024
St Marys Station,Entry,102277,11,2024
St Marys Station,Exit,98643,11,2024
St Peters Station,Entry,69716,11,2024
St Peters Station,Exit,61122,11,2024
Stanmore Station,Entry,74366,11,2024
Stanmore Station,Exit,67827,11,2024
Strathfield Station,Entry,625126,11,2024
Strathfield Station,Exit,608437,11,2024
Summer Hill Station,Entry,81280,11,2024
Summer Hill Station,Exit,76120,11,2024
Sutherland Station,Entry,151849,11,2024
Sutherland Station,Exit,149833,11,2024
Sydenham Station,Entry,488280,11,2024
Sydenham Station,Exit,475166,11,2024
Tempe Station,Entry,33848,11,2024
Tempe Station,Exit,32258,11,2024
Thornleigh Station,Entry,36157,11,2024
Thornleigh Station,Exit,34433,11,2024
Toongabbie Station,Entry,67154,11,2024
Toongabbie Station,Exit,63330,11,2024
Town Hall Station,Entry,1925719,11,2024
Town Hall Station,Exit,1840600,11,2024
Turramurra Station,Entry,82872,11,2024
Turramurra Station,Exit,78027,11,2024
Turrella Station,Entry,25607,11,2024
Turrella Station,Exit,22937,11,2024
Villawood Station,Entry,11247,11,2024
Villawood Station,Exit,10991,11,2024
Vineyard Station,Entry,3615,11,2024
Vineyard Station,Exit,3492,11,2024
Wahroonga Station,Entry,43275,11,2024
Wahroonga Station,Exit,40780,11,2024
Waitara Station,Entry,66391,11,2024
Waitara Station,Exit,61173,11,2024
Warrawee Station,Entry,20937,11,2024
Warrawee Station,Exit,18724,11,2024
Warwick Farm Station,Entry,53621,11,2024
Warwick Farm Station,Exit,48882,11,2024
Waterfall Station,Entry,8896,11,2024
Waterfall Station,Exit,8870,11,2024
Waverton Station,Entry,45434,11,2024
Waverton Station,Exit,39862,11,2024
Wentworthville Station,Entry,90702,11,2024
Wentworthville Station,Exit,86307,11,2024
Werrington Station,Entry,29453,11,2024
Werrington Station,Exit,26206,11,2024
West Ryde Station,Entry,108056,11,2024
West Ryde Station,Exit,107269,11,2024
Westmead Station,Entry,160727,11,2024
Westmead Station,Exit,148839,11,2024
Windsor Station,Entry,15866,11,2024
Windsor Station,Exit,15427,11,2024
Wolli Creek Station,Entry,221769,11,2024
Wolli Creek Station,Exit,222811,11,2024
Wollstonecraft Station,Entry,48923,11,2024
Wollstonecraft Station,Exit,44427,11,2024
Woolooware Station,Entry,27362,11,2024
Woolooware Station,Exit,25193,11,2024
Wynyard Station,Entry,1183093,11,2024
Wynyard Station,Exit,1253792,11,2024
Yagoona Station,Entry,23923,11,2024
Yagoona Station,Exit,21749,11,2024
Yennora Station,Entry,25580,11,2024
Yennora Station,Exit,26200,11,2024
Allawah Station,Entry,54328,12,2024
Allawah Station,Exit,47966,12,2024
Arncliffe Station,Entry,49441,12,2024
Arncliffe Station,Exit,43941,12,2024
Artarmon Station,Entry,89961,12,2024
Artarmon Station,Exit,84083,12,2024
